track_name,artist,album,release_date,duration,popularity,explicit,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood,negative,neutral,positive,compound
Closer,The Chainsmokers,Closer,2016-07-29,244960,85,0,hey fine met drink much issu okay hey tell friend nice meet hope never see know break heart move citi brokedown car four year call lookin pretti hotel bar iii stop iii stop babi pull closer backseat rover know afford bite tattoo shoulder pull sheet right corner mattress stole roommat back boulder ever gettin older ever gettin older ever gettin older see chainsmok liveget ticket low might also like look good day met forget left insan stay play blink song beat death tucson okay know break heart move citi brokedown car four year call lookin pretti hotel bar iii stop iii stop babi pull closer backseat rover know afford bite tattoo shoulder pull sheet right corner mattress stole roommat back boulder ever gettin older ever gettin older ever gettin older babi pull closer backseat rover know afford bite tattoo shoulder pull sheet right corner mattress stole roommat back boulder ever gettin older ever gettin older ever gettin older ever gettin older ever gettin older ever gettin older ever gettin older ever gettin older ever gettin older older ever gettin older older ever gettin older,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,4.0,1,0.078,0.778,0.144,0.9325
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,240400,89,0,man want world hand hate beach stand california toe sand use sleev sweater let us adventur head cloud graviti center touch neck touch littl highwaist short oh know think think one love two mouth one love one hous shirt blous us find noth would want tell cold let hold hand hole sweater may take breath away mind much say sometim silenc guid mind move place far away goosebump start rais minut left hand meet waist watch face put finger tongu love tast yeah heart ador everyon beat hardest insid place warm outsid start pour might also like comin one love two mouth one love one hous shirt blous us find noth would want tell cold let hold hand hole sweater cold let hold hand hole sweater woah woah woah woah woah woah woah woah woah woah woah woah woah woah woah woah cold let hold hand hole sweater cold let hold hand hole sweater cold cold hole sweater,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.0,0,0.019,0.691,0.291,0.9944
Say You Won't Let Go,James Arthur,Back from the Edge,2016-10-28,211466,87,0,met dark lit made feel though enough danc night away drank much held hair back throwin smile shoulder minut stonecold sober pull closer chest ask stay said alreadi told ya think get rest knew love would never know play cool scare let go knew need never show want stay grey old say let go say let go wake breakfast bed bring coffe kiss head take kid school wave goodby thank lucki star night see jame arthur liveget ticket low might also like look shoulder minut forget older want danc right woah look beauti ever swear everi day get better make feel way somehow love hope know darlin love worth weight gold come far dear look grown want stay grey old say let go say let go want live even ghost alway need go love till lung give promis till death part like vow wrote song everybodi know till grey old say let go say let go say let go oh say let go,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,4.0,0,0.098,0.668,0.234,0.9766
Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,174000,87,0,tast like strawberri summer evenin sound like song want berri summer feelin wonder warm breath breath know could ever go without think loud know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar strawberri summer evenin babi end june want belli summer feelin get wash away breath breath know could ever go without might also like watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high want tast want tast watermelon sugar high tast like strawberri summer evenin sound like song want belli summer feelin know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high sugar watermelon sugar high sugar watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high want tast want tast eheheh watermelon sugar high want tast want tast ooh yeah watermelon sugar high watermelon sugar,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,4.0,1,0.012,0.836,0.152,0.9286
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,239835,84,1,enviyon mix nono still see shadow room take back love gave point love hate chang must replac oh easier said done thought one listenin heart instead head found anoth one better one let forget still see shadow room take back love gave point love hate chang must replac oh easier said done thought one listenin heart instead head found anoth one better one let forget left fall land insid grave know want dead take prescript make feel aokay know head lucid dream move thing think bed everyth thought wed ring better dead uh uh uh want end watch blow wind listen friend leav shit past want last made outta plastic fake tangl drastic way knew evil girl prettiest face gave heart full mistak gave heart made heartbreak might also like made heart break made heart ach still see shadow room made heart break made heart ach take back love gave made heart break made outta plastic fake made heart ach still see shadow room made heart break tangl drastic way knew evil girl prettiest face still see shadow room take back love gave point love hate chang must replac oh easier said done thought one listenin heart instead head found anoth one better one let forget still see shadow room take back love gave point love hate chang must replac oh easier said done thought one listenin heart instead head found anoth one better one let forget leav shit past want last made outta plastic fake tangl drastic way knew evil girl prettiest face easier said done thought instead head found anoth better one let forget,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,4.0,0,0.165,0.482,0.353,0.9977
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,82,0,white shirt red bloodi nose sleepin tippi toe creepin around like one know think crimin bruis knee say thank pleas want want soul cynic tough guy like realli rough guy get enough guy chest alway puf guy bad type make mama sad type make girlfriend mad tight might seduc dad type bad guy duh bad guy like take control even know let play role anim mommi like sing along sing song read lyric piti men know might also like tough guy like realli rough guy get enough guy chest alway puf guy bad type make mama sad type make girlfriend mad tight might seduc dad type bad guy duh bad guy duh good bein bad bad like get mad guess pretti glad alon said scare mean see see mayb wear cologn bad guy bad guy bad guy bad guy bad,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,1,0.34,0.51,0.15,-0.9918
Photograph,Ed Sheeran,x (Deluxe Edition),2014-06-21,258986,84,0,love hurt love hurt sometim thing know get hard know get hard sometim thing make us feel aliv keep love photograph made memori eye never closin heart never broken time forev frozen still keep insid pocket rip jean holdin closer till eye meet ever alon wait come home love heal love mend soul thing know know swear get easier rememb everi piec ya mm thing take us die see ed sheeran liveget ticket low might also like mm keep love photograph made memori eye never closin heart never broken time forev frozen still keep insid pocket rip jean holdin closer till eye meet ever alon hurt well okay babi word bleed insid page hold ever let go wait come home wait come home wait come home wait come home oh fit insid necklac got sixteen next heartbeat keep deep within soul hurt well okay babi word bleed insid page hold ever let go away rememb kiss lamppost back sixth street hearin whisper phone wait come home,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,4.0,0,0.139,0.637,0.224,0.9616
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),2014-06-21,281560,82,0,leg work like use sweep feet mouth still rememb tast love eye still smile cheek darlin love till seventi babi heart could still fall hard twentythre thinkin bout peopl fall love mysteri way mayb touch hand well fall love everi singl day want tell honey take love arm kiss light thousand star place head beatin heart thinkin loud mayb found love right hair gone memori fade crowd rememb name hand play string way mmm know still love honey soul could never grow old evergreen babi smile forev mind memori see ed sheeran liveget ticket low might also like thinkin bout peopl fall love mysteri way mayb part plan oh keep makin mistak hope understand babi take love arm kiss light thousand star place head beatin heart thinkin loud mayb found love right ohoh lololo lololo lololo lololo love babi take love arm kiss light thousand star oh darlin place head beatin heart thinkin loud mayb found love right oh mayb found love right found love right,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,4.0,1,0.014,0.531,0.455,0.9988
Take Me to Church,Hozier,Hozier (Expanded Edition),2014-09-19,241693,79,0,lover got humour giggl funer know everybodi disapprov worship sooner heaven ever speak last true mouthpiec everi sunday gettin bleak fresh poison week born sick heard say church offer absolut tell worship bedroom heaven sent alon born sick love command well amen amen amen take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life see hozier liveget ticket low might also like pagan good time lover sunlight keep goddess side demand sacrific drain whole sea get someth shini someth meati main cours fine lookin high hors got stabl lot starvin faith look tasti look plenti hungri work take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life master king ritual begin sweeter innoc gentl sin mad soil sad earthli scene human clean oh oh amen amen amen take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life take church worship like dog shrine lie tell sin sharpen knife offer deathless death oh good god let give life kemb,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,4.0,0,0.201,0.493,0.305,0.9698
Riptide,Vance Joy,Dream Your Life Away (Special Edition),2014-09-08,204280,82,0,scare dentist dark scare pretti girl start convers oh friend turnin green magician assist dream ohooh ohoh come unstuck ladi runnin riptid taken away dark side want left hand man love singin song got lump throat go sing word wrong movi think like guy decid quit job head new york citi cowboy runnin livin highest shelf ohooh ohoh come unstuck see vanc joy liveget ticket low might also like ladi runnin riptid taken away dark side want left hand man love singin song got lump throat go sing word wrong want want know go go stay got got know way swear destin screen closest thing michel pfeiffer ever seen oh ladi runnin riptid taken away dark side want left hand man love singin song got lump throat go sing word wrong oh ladi runnin riptid taken away dark side want left hand man love singin song got lump throat go sing word wrong oh ladi runnin riptid taken away dark side want left hand man love singin song got lump throat go sing word wrong yeah got lump throat go sing word wrong,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,4.0,1,0.118,0.623,0.259,0.9834
Circles,Post Malone,Hollywood's Bleeding,2019-09-06,215280,86,0,oh oh oh oh oh oh oh oh oh oh oh could turn around til upsid bad guy know proud could even tri believ everi time season chang love went cold feed flame let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away let go got feel time let go said knew doom getgo thought special special sex though sex though still hear echo echo got feel time let go let go see post malon liveget ticket low might also like season chang love went cold feed flame let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away mayb understand go got lose make mind tell go let go season chang love went cold feed flame let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,4.0,1,0.092,0.79,0.119,0.8126
Shallow,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,215733,84,0,tell someth girl happi modern world need someth els searchin fallin good time find longin chang bad time fear tell someth boy tire tryna fill void need hard keepin hardcor fall good time find long chang bad time fear deep end watch dive never meet ground crash surfac hurt us far shallow might also like shaha shahallow shaha shalalalalow shaha shahallow far shallow oh ha ah ha ohah ha deep end watch dive never meet ground crash surfac hurt us far shallow shaha shallow shaha shalalalalow shaha shallow far shallow,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,4.0,0,0.185,0.643,0.172,-0.555
Counting Stars,OneRepublic,Native,2013-01-01,257265,87,0,late losin sleep dreamin thing could babi prayin hard said countin dollar countin star yeah countin star see life like swing vine swing heart across line face flash sign seek ye shall find old old young bold think world sold told feel someth right wrong thing feel someth wrong right thing could lie could lie could lie everyth kill make feel aliv late losin sleep dreamin thing could babi prayin hard said countin dollar countin star late losin sleep dreamin thing could babi prayin hard said countin dollar countin star yeah see onerepubl liveget ticket low might also like feel love feel burn river everi turn hope fourlett word make money watch burn old old young bold think world sold told feel someth wrong right thing could lie could lie could lie everyth drown make want fli late losin sleep dreamin thing could babi prayin hard said countin dollar countin star late losin sleep dreamin thing could babi prayin hard said countin dollar countin star oh take money watch burn sink river lesson learn take money watch burn sink river lesson learn take money watch burn sink river lesson learn take money watch burn sink river lesson learn everyth kill make feel aliv late losin sleep dreamin thing could babi prayin hard said countin dollar countin star late losin sleep dreamin thing could babi prayin hard said countin dollar countin star take money watch burn sink river lesson learn take money watch burn sink river lesson learn take money watch burn sink river lesson learn take money watch burn sink river lesson learn,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.118,0.477,122.016,4.0,0,0.114,0.795,0.091,-0.6249
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,233720,84,0,time rain parad club get use name think broke heart oh girl good sake think cryin well want write song want anyon think still care still hit phone babi movin think someth want hold back mayb know mama like like everyon never like admit wrong caught job see go know better sleep like way look much oh babi go love think still holdin someth go love might also like told hate friend problem everi time told opinion wrong tri make forget came want write song want anyon think still care still hit phone babi movin think someth want hold back mayb know mama like like everyon never like admit wrong caught job see go know better sleep like way look much oh babi go love think still holdin someth go love time made feel small fell love feel noth never felt low vulner fool let break wall like way look much oh babi go love think still holdin someth go love like way look much oh babi go love think still holdin someth go love,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,4.0,1,0.096,0.512,0.392,0.997
Thunder,Imagine Dragons,Evolve,2017-06-23,187146,86,0,young gun quick fuse uptight want let loos dream bigger thing want leav life behind ye sir follow fit box fit mold seat foyer take number lightn thunder thunder thunder thunder thun thunder thththunder thunder thunder thunder thun thunder thththunder thunder thunder feel thunder thunder thunder thun lightn thunder thunder thththunder thunder thunder feel thunder thunder thunder thun thun lightn thunder thunder thunder thththunder thunder thun thun kid laugh class scheme mass think dream bout big star say basic say easi alway ride backseat smile stage clap noseble see imagin dragon liveget ticket low might also like thunder thunder thunder thun thunder thththunder thunder thunder thunder thun thunder thththunder thunder thunder feel thunder thunder thunder thun lightn thunder thunder thththunder thunder thunder feel thunder thunder thunder thun thun lightn thunder thunder thunder thththunder thunder thun thun thunder feel thunder lightn thunder thunder thunder feel thunder thunder thunder thun lightn thunder thunder thunder thththunder thunder thunder feel thunder thunder thunder thun thun lightn thunder thunder thththunder thunder feel thunder thunder thunder thun never give never give lightn thunder thunder thunder thththunder thunder never give dream thunder feel thunder thunder thunder thun thun never give never give lightn thunder thunder thththunder never give dream thunder thunder thun thunder thththunder thunder thunder thunder thun thunder thththunder thunder woahohohh thunder thunder thun thunder thththunder thunder woahohohh thunder thunder thun thunder thththunder thunder,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,4.0,0,0.043,0.869,0.088,0.8368
All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30,269560,86,0,would without smart mouth draw kick got head spin kid pin go beauti mind magic mysteri ride dizzi know hit alright head water breath fine crazi mind love love curv edg perfect imperfect give give end begin even lose win give give ohoh see john legend liveget ticket low might also like mani time tell even cri beauti world beat around everi mood downfal muse worst distract rhythm blue stop sing ring head head water breath fine crazi mind love love curv edg perfect imperfect give give end begin even lose win give give ohoh give oh card tabl show heart risk though hard love love curv edg perfect imperfect give give end begin even lose win give give give give ohoh,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,4.0,0,0.171,0.502,0.327,0.9879
Another Love,Tom Odell,Long Way Down (Expanded Edition),2013-06-24,244360,62,1,want take somewher know care cold know brought daffodil pretti string flower like last spring want kiss make feel alright tire share night want cri want love tear use anoth love anoth love tear use anoth love anoth love tear use anoth love anoth love tear use ohohohohohohoh ohohohohohohoh somebodi hurt want fight hand broken one mani time use voic fuck rude word alway win know lose would sing song would sang anoth heart see tom odel liveget ticket low might also like want cri want learn love tear use anoth love anoth love tear use anoth love anoth love tear use anoth love anoth love tear use ohohohohohohoh ohohohohohohoh oh need love heart think want sing song would sang anoth heart want cri want fall love tear use anoth love anoth love tear use anoth love anoth love tear use anoth love anoth love tear use,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.6e-05,0.0944,0.131,122.764,4.0,0,0.079,0.377,0.544,0.9989
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,243836,87,1,yeah night yeah ooh ooh get goosebump everi time yeah come around yeah eas mind make everyth feel fine worri bout comment way numb yeah way dumb yeah get goosebump everi time need heimlich throw side yeah get goosebump everi time yeah around straight throw side yeah lit get goosebump everi time yeah yeah ridin flyin sippin lowkey sippin lowkey onyx rider rider pullin right besid ya pop star lil mariah text cute game wild throw stack bibl never snapchat took molli fall plenti ginni yeah top floor right doheni yeah oh fuck yeah squad wrong yeah saucin citi get misinform yeah gon pull brr brr brr yeah gon thing thing relat yeah place place stay oh go oh know oh back fuck brr brr brr might also like get goosebump everi time yeah come around yeah eas mind make everyth feel fine worri bout comment way numb yeah way dumb yeah get goosebump everi time need heimlich throw side yeah get goosebump everi time yeah around throw side yeah get goosebump everi time uh want press like yeah want press want green light want like want press line yeah want take ride yeah go press line want green light want like want press mama dearest spare feel relivin moment peelin residu buy buildin burn buildin take bitch rebuild buildin fuck justifi love ya touch sky god stop debat war put pussi pedest ayi put pussi high hors pussi die pussi die peter piper pick pepper could pick brain put heart togeth depart shadi part parti hard diamond coup forev best shot might shoot forev like brr get goosebump everi time yeah come around yeah eas mind make everyth feel fine worri bout comment way numb yeah way dumb yeah get goosebump everi time need heimlich throw side yeah get goosebump everi time yeah around throw side yeah get goosebump everi time,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,0,0.124,0.557,0.319,0.9948
Stressed Out,Twenty One Pilots,Blurryface,2015-05-15,202333,85,0,wish found better sound one ever heard wish better voic sang better word wish found chord order new wish rhyme everi time sang told get older fear would shrink insecur care peopl think name blurryfac care think name blurryfac care think wish could turn back time time time good old day momma sang us sleep stress oh wish could turn back time oh good old day oh momma sang us sleep stress stress sometim certain smell take back young come never abl identifi comin would make candl ever found tri sell never sell would probabl sell one would brother nose cloth homegrown stone throw creek use roam would remind us noth realli matter student loan treehous home would take latter see twenti one pilot liveget ticket low might also like mymymi name blurryfac care think name blurryfac care think wish could turn back time time time good old day momma sang us sleep stress oh wish could turn back time oh good old day oh momma sang us sleep stress use play pretend give differ name would build rocket ship would fli far away use dream outer space laughin face sayin wake need make money yeah use play pretend give differ name would build rocket ship would fli far away use dream outer space laughin face sayin wake need make money yeah wish could turn back time time time good old day momma sang us sleep stress oh wish could turn back time oh good old day oh momma sang us sleep stress use play pretend use play pretend money use play pretend wake need money use play pretend use play pretend money use play pretend wake need money use play pretend give differ name would build rocket ship would fli far away use dream outer space laughin face sayin wake need make money yeah,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4.0,1,0.096,0.626,0.278,0.9967
Wake Me Up,Avicii,True,2013-01-01,247426,86,0,feelin way dark guid beatin heart tell journey end know start tell young understand say caught dream well life pass open eye well fine wake wiser older time findin know lost wake wiser older time findin know lost tri carryin weight world two hand hope get chanc travel world plan wish could stay forev young afraid close eye life game made everyon love prize might also like wake wiser older time findin know lost wake wiser older time findin know lost know lost know lost know lost know know know,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.0,1,0.13,0.549,0.321,0.9709
